id,category,hook_type,post,cta,status,notes
65,副業・収益化,逆張り,"「副業禁止の会社だから無理」

これ、2026年で一番もったいない言い訳。

まず確認してほしい。

就業規則の「副業禁止」、
本当に全面禁止？

実は多くの会社が
「届出制」に変わってる。

それでもダメなら
「副業」じゃなく「学習」として始めればいい。

ブログ → アウトプット学習
X発信 → 情報整理の練習
プログラミング → スキルアップ

収益化は後からでいい。
まず「発信する筋肉」を鍛えておく。

副業禁止は
「稼ぐな」じゃなくて
「本業に支障を出すな」が本質。

本業に支障なく
スキルを磨く方法はいくらでもある。

言い訳を捨てろ。",副業禁止の会社にいる人いる？,draft,副業×逆張り×言い訳潰し×広い市場
66,副業・収益化,ストーリー型,"副業で月5万→30万に
スケールした時の転機。

月5万で安定してた時、
正直「このままでいいか」と思ってた。

でもある日気づいた。

「自分の時間を売ってる限り
収入に天井がある」と。

時給5000円 × 月10時間 = 5万円。
これ以上は物理的に無理。

そこから「仕組み化」に切り替えた。

①自分のノウハウをnoteにまとめた
②購入者向けのコミュニティを作った
③月額制にした

月5万の労働収入
→ 月30万のストック収入

「自分が寝てても入る収入」を作れ。

時間の切り売りから卒業した瞬間、
世界が変わる。",時間の切り売りから抜けた経験ある？,draft,副業×ストーリー×スケール×仕組み化
67,副業・収益化,問題提起,"副業で月1万稼ぐのと
月10万稼ぐの、

実は難易度がほとんど変わらない。

「え？」って思うでしょ。

でもマジ。

月1万: 1つの方法で1つの収入源
月10万: 1つの方法で複数の収入源

やることは同じ。
「展開」するだけ。

noteで月1万稼いだなら、
同じノウハウをBrainでも出す。
Tipsでも出す。
Xで要約版を発信する。

1つのコンテンツを
5つの場所で売る。

作る労力は同じ。
売る場所を増やすだけ。

月1万で止まってる人、
展開してないだけ。",月1万から伸び悩んでる人いる？,draft,副業×問題提起×スケール法×具体的
68,副業・収益化,共感型,"副業始めて最初の3ヶ月、
誰にも言えなかった。

家族にも友達にも。

「副業やってるんだ」って言ったら
「へー、いくら稼いでるの？」
って絶対聞かれる。

答え: ゼロ円。

これが恥ずかしくて言えなかった。

でも今思うと、
あのゼロ円の3ヶ月がなかったら
今の収入はない。

みんな結果が出てから
「実は副業やってて」って言う。

でも本当にキツいのは
結果が出る前の孤独な期間。

今ゼロで孤独に頑張ってる人。

それ、全員通る道だから。
大丈夫。",ゼロ円時代のエピソード教えて,draft,副業×共感×孤独×応援
69,お金・投資,言い切り,"NISAやってない人、
2026年で一番損してる。

非課税で投資できる制度を
使わない理由がわからない。

「難しそう」→ ネット証券で10分で開設
「損しそう」→ インデックスなら長期で負けにくい
「お金ない」→ 月1000円から始められる

全部言い訳。

年間360万円分の非課税枠。
使わなかったら永遠にゼロ。

20年後に
「あの時始めてれば…」
と後悔する未来が見える。

今すぐ口座開設しろ。
最初は月1000円でいい。

「始める」と「始めない」の差は
20年後に数百万の差になる。",NISA始めてる？まだの人は正直にリプ,draft,お金×言い切り×広い市場×緊急性
70,お金・投資,データ型,"複利の力、
数字で見せたらビビるよ。

月3万円を年利5%で積み立てた場合:

10年後: 466万円（元本360万）
20年後: 1233万円（元本720万）
30年後: 2497万円（元本1080万）

30年で元本の2.3倍。

差額の1417万円は
「何もしなくても増えた分」。

これが複利。

ポイントは「時間」。

同じ月3万でも
25歳で始めた人と
35歳で始めた人で
60歳時点の差は1264万円。

10年早く始めるだけで
1264万円の差。

最強の投資戦略は
「今すぐ始めて、やめないこと」。

シンプルだけど
これ以上の正解はない。",いつから積立始めた？リプで教えて,draft,お金×データ×複利×広い市場
71,お金・節約,逆張り,"「ラテマネーを削れ」

この節約術、半分間違い。

毎日のコーヒー400円を削って
月12000円の節約。

でもそれで仕事のパフォーマンスが
下がったら本末転倒。

本当に削るべきは
「惰性で払い続けてるもの」。

使ってないサブスク: 月5000円
なんとなく入ってる保険: 月10000円
使わないジム会員: 月8000円

合計: 月23000円。年間27.6万円。

ラテより先にこっち削れ。

「毎日使うもの」は残せ。
「月1回も使わないもの」を切れ。

我慢の節約は続かない。
仕組みの節約は一生続く。",惰性で払い続けてるものある？,draft,お金×逆張り×具体的×広い市場
72,お金・マインド,問題提起,"お金持ちと貧乏人の
一番の違いを教える。

収入じゃない。
支出でもない。

「お金の話をするかどうか」。

日本人はお金の話を避けすぎ。

「お金の話ははしたない」
「年収聞くのは失礼」
「投資は怖い」

この空気のせいで
金融リテラシーが育たない。

お金持ちは普通にお金の話をする。
税金の話をする。投資の話をする。

知識がある人のところに
お金は集まるようにできてる。

「お金の話ははしたない」
という思い込みが
あなたを貧乏にしてる。

今日から1人でいいから
お金の話をしてみて。",お金の話、リアルでしてる？,draft,お金×問題提起×マインドシフト×広い市場
73,お金・節約,実践型,"今日からできる
「お金が貯まる5つの自動化」。

①給料日に自動で別口座に天引き
→ 見えないお金は使わない

②固定費をクレカ1枚に集約
→ 毎月の支出が一目でわかる

③サブスクをスプレッドシートで管理
→ 年1回の棚卸しを忘れない

④買い物はカートに入れて24時間放置
→ 衝動買いが激減する

⑤ポイントは自動で投資に回す
→ チリツモで年間数万になる

共通点は「意志力に頼らない」こと。

我慢できる人が貯まるんじゃない。
仕組みを作った人が貯まる。

5つのうち1つでいいから
今日セットしてみて。",いくつやってる？番号で教えて,draft,お金×実践型×自動化×リプ誘導
74,お金・投資,対立構造,"「個別株で一発当てる」
vs
「インデックスでコツコツ」

初心者が選ぶべき答えは1つ。

インデックス一択。

理由はシンプル。

プロのファンドマネージャーの
8割がインデックスに負けてる。

プロが負けるゲームに
素人が勝てるわけない。

個別株で勝ってる人は
「運が良かった」か
「それが本業」の人だけ。

副業や本業がある人は
投資に時間を使うべきじゃない。

月3万をS&P500に自動積立。
あとは20年放置。

これ以上の戦略はない。

考える暇があったら
本業と副業のスキルを磨け。",個別株派？インデックス派？,draft,お金×対立構造×初心者向け×言い切り
75,お金・マインド,ストーリー型,"年収が上がるたびに
生活レベルを上げてた時期がある。

年収300万: ワンルーム、自炊
年収500万: 1LDK、外食増加
年収700万: タワマン、ブランド物

結果: 貯金ゼロ。

年収は2.3倍になったのに
貯金は増えてない。

これが「ライフスタイルインフレ」。

収入が増えた分だけ支出も増える
最悪の病気。

治療法は1つ。

「年収が上がっても
生活レベルを1段階だけ上げる」

年収300万の生活費で
年収500万を過ごす。

差額200万が全部貯まる。

派手な生活は
金持ちになってからでいい。",ライフスタイルインフレ経験ある人🙋‍♂️,draft,お金×ストーリー×共感×広い市場
76,お金・マインド,共感型,"「お金がない」が口癖の人、
実はお金がないんじゃなくて
お金の「優先順位」がないだけ。

スタバは毎日行く。
サブスクは5個入ってる。
新しいiPhoneは発売日に買う。

でも「本を買うお金がない」
「投資するお金がない」。

矛盾してない？

お金は「ある」。
使い方の優先順位が
「消費 > 投資」になってるだけ。

月5000円だけでいい。
消費を投資に回してみ。

本1冊: 1500円
オンライン講座: 2000円
NISA積立: 1000円
残り: 500円

この5000円が
1年後の自分を別人にする。",月いくら自己投資してる？,draft,お金×共感×マインドシフト×広い市場
77,転職・キャリア,実践型,"年収交渉で100万上げた方法。

転職面接の最後に
「ご希望年収は？」と聞かれた。

ほとんどの人が
「現年収+α」で答える。

これ、最悪の手。

正解は
「御社の同ポジションの
上位レンジを希望します」。

根拠は3つ用意する。

①自分のスキルの市場価値（データ）
②前職での具体的な成果（数字）
③入社後に出せる価値（提案）

交渉は「もらう」じゃなく
「提供する価値の対価」として話す。

受け身の交渉は負ける。
提案型の交渉は通る。

100万の差は
30分の交渉で決まる。",年収交渉した経験ある？,draft,キャリア×実践型×年収交渉×具体的
78,転職・キャリア,言い切り,"2026年、最強のキャリア戦略は
「スキルの掛け算」。

プログラミングができる人 → 大量にいる
マーケティングができる人 → 大量にいる

プログラミング × マーケティング
→ ほとんどいない。

1つのスキルで上位1%を目指すより
2つのスキルで上位10%ずつ取る方が
圧倒的に簡単。

10% × 10% = 上位1%

しかも掛け算スキルは
AIに代替されにくい。

AIは単一タスクに強いけど
領域をまたいだ判断は人間の方が上。

専門性を深掘りするのもいいけど
「もう1つの軸」を持つ方が
キャリアの保険になる。",あなたの掛け算スキルは何？,draft,キャリア×言い切り×スキル戦略×AI時代
79,転職・キャリア,データ型,"リモートワークの現実、
2026年のデータ。

フルリモート可能な求人: 前年比15%増
リモートワーカーの平均年収: オフィスワーカーより12%高い
リモートの離職率: オフィスの半分

つまりリモートの方が
年収高くて辞めにくい。

「リモートは楽してる」
って偏見、まだある？

データが全否定してる。

ただし注意点も。

リモートで成果出せるのは
「自己管理ができる人」だけ。

家でダラダラする人は
オフィスにいた方がいい。

リモートは「自由」じゃなくて
「自律」が求められる環境。

自律できる人にとっては最強の働き方。",リモート派？オフィス派？理由も教えて,draft,キャリア×データ×リモートワーク×広い市場
80,転職・キャリア,逆張り,"「35歳転職限界説」

2026年、完全に死んだ。

40代で転職成功する人が
前年比30%増えてる。

理由は2つ。

①人手不足が深刻すぎて
年齢で切ってる余裕がない

②経験値の価値が再評価されてる
AIでは代替できない「判断力」

ただし40代転職で成功する人は
「経験の棚卸し」ができてる人。

「20年やってきました」じゃダメ。

「この経験で御社のこの課題を解決できます」
と具体的に言える人。

年齢はハンデじゃなくて武器。
武器の使い方を知ってるかどうか。",35歳以上で転職した人いる？,draft,キャリア×逆張り×年齢×広い市場
81,転職・キャリア,問題提起,"面接で「御社の理念に共感して」
って言ってる人、
全員落ちてる可能性高い。

面接官は毎日聞いてる。
「またこのパターンか」って。

刺さる志望動機は
「御社の〇〇という課題に対して
私の〇〇という経験で貢献できる」。

つまり「自分が何をもらえるか」
じゃなくて
「自分が何を与えられるか」。

Give firstの人は面接で無双する。

事前に企業のIR、プレスリリース、
社員のXを調べて
課題を特定しろ。

準備量 = 本気度。
面接官はそこを見てる。",面接で失敗したエピソードある？,draft,キャリア×問題提起×面接×実践的
82,転職・キャリア,対立構造,"「大企業で安定」
vs
「スタートアップで成長」

2026年の正解。

結論: どっちでもいい。
重要なのは「何を得たいか」。

大企業で得られるもの:
・仕組み化の知見
・大規模プロジェクト経験
・人脈とブランド

スタートアップで得られるもの:
・意思決定の速さ
・何でもやる力
・ストックオプション

キャリアの正解は1つじゃない。

ただし1つだけ言えること。

「安定」を求めて大企業にいるなら
それは幻想。

大企業も普通にリストラする。

安定は会社にはない。
自分のスキルにしかない。",大企業派？スタートアップ派？理由も聞かせて,draft,キャリア×対立構造×安定幻想×広い市場
83,転職・キャリア,共感型,"「やりたいことがわからない」

これ、社会人の8割が思ってる。

安心してほしい。
「やりたいことがある人」の方が少数派。

しかもやりたいことがある人の半分は
実際にやってみたら
「思ってたのと違った」ってなる。

つまり最初から正解を
引く必要はない。

やり方はシンプル。

①興味あることを小さく試す
②合わなかったらすぐ次へ
③「苦じゃなかったこと」を深掘る

「やりたいこと」は
探すものじゃなくて
やってるうちに見つかるもの。

机の上で考えても答えは出ない。
手を動かせ。",やりたいこと見つかった瞬間ってどんな時だった？,draft,キャリア×共感×やりたいこと探し×広い市場
84,転職・キャリア,ストーリー型,"キャリアの「掘り」を作った話。

3年前、自分の市場価値を調べて愕然とした。
同じスキルの人が1万人いた。

「このままじゃ埋もれる」

そこからやったこと:

①本業のスキル（開発）を磨きつつ
②副業でマーケティングを学んだ
③その経験をXで発信した

1年後、
「開発もマーケもわかる人」として
スカウトが3倍に増えた。

しかも年収提示が
以前より200万高い。

キャリアの掘りとは
「代替されにくいポジション」のこと。

1つの深い穴より
2つの穴をつなぐトンネルを掘れ。

それが最強のキャリア防御。",自分のキャリアの掘りは何？,draft,キャリア×ストーリー×差別化×具体的
85,AI活用,実践型,"AIを使いこなしてる人と
使えてない人の決定的な差。

「AIに何をやらせるか」を
言語化できるかどうか。

使えてない人:
「AIすごいらしいけど何に使うの？」

使えてる人:
「この作業をAIに任せたら
30分が5分になる」

コツは自分の1日を振り返って
「繰り返してる作業」を洗い出すこと。

メール返信の下書き → AI
議事録のまとめ → AI
データの整理 → AI
リサーチの初期段階 → AI

「考える仕事」は自分。
「作業」はAI。

この振り分けができた瞬間、
1日が実質2日分になる。",AIに任せてる作業教えて,draft,AI×実践型×具体的×広い市場
86,AI活用,逆張り,"「AIの回答は信用できない」

これ言ってる人、
使い方が間違ってる。

AIに「答え」を求めるから
ハルシネーションに振り回される。

正しい使い方は
「壁打ち相手」として使うこと。

答えじゃなくて
「考える材料」をもらう。

自分: 「こういう仮説があるんだけど」
AI: 「その仮説の弱点は〇〇」
自分: 「じゃあこう修正したら？」
AI: 「その方が筋が通る」

最終判断は常に自分。
AIはブレストの相手。

信用するかしないかじゃなくて
「どう活用するか」の問題。

使い方を変えろ。
AIが悪いんじゃない。",AI壁打ちの使い方やってる？,draft,AI×逆張り×使い方提案×広い市場
87,AI活用,データ型,"AIを導入した人の
生産性データがヤバい。

コーディング速度: 平均2.5倍
文章作成速度: 平均3倍
リサーチ時間: 平均1/5

しかもこれ、
「AIに詳しい人」だけの数字じゃない。

「普通に使い始めた人」の平均値。

つまりAIは
特別な人の特別なツールじゃなくて
全員の生産性を底上げするもの。

電卓が出た時、
全員の計算速度が上がったのと同じ。

使わない人は
「俺は暗算でやる」って言ってる人と
同じポジション。

カッコいいか？
ただの非効率でしょ。

今日からでいい。
1つの作業をAIにやらせてみ。",AI導入して一番変わったこと教えて,draft,AI×データ×説得力×広い市場
88,AI活用,問題提起,"AIでコンテンツを作ること、
「ズルい」って思ってる人へ。

じゃあ聞くけど、
カメラで写真撮ることもズルい？
Excelで計算することもズルい？

道具を使うことと
手を抜くことは全然違う。

AIで下書きを作って
自分の言葉で編集する。

AIでリサーチして
自分の視点で解釈する。

これ「ズルい」じゃなくて
「効率的」って言うんだよ。

最終的なアウトプットの質は
「自分のフィルター」で決まる。

AIは材料を集める道具。
料理するのは自分。

同じ材料でも
料理人の腕で味が変わる。

AIを使いこなせ。
それがあなたの料理の腕。",AIコンテンツ賛成？反対？,draft,AI×問題提起×対立構造×クリエイティブ
89,AI活用,言い切り,"2026年、エンジニアじゃなくても
AIで稼げる時代になった。

具体的に:

①AIライティング
→ 記事の構成・下書きをAIで作成
→ 自分で編集して納品
→ 月5〜15万

②AIデザイン
→ Midjourney、Canva AIで
→ SNS画像・バナー制作
→ 1枚3000〜5000円

③AIリサーチ代行
→ 企業のリサーチをAIで高速化
→ レポートにまとめて納品
→ 1件1〜3万

④AIプロンプト販売
→ 使えるプロンプトをまとめて販売
→ note等で500〜3000円

コードが書けなくてもいい。
AIを「使える」だけで価値がある。

まずは1つ試してみ。",気になるのはどれ？番号で教えて,draft,AI×副業×非エンジニア向け×具体的
90,AI活用,トレンド型,"2026年、
AIが中間管理職を代替し始めてる。

「レポートまとめといて」→ AI
「データ分析して」→ AI
「スケジュール調整して」→ AI

つまり「情報の整理と伝達」が
メインの仕事は消える。

残る管理職の仕事:

①チームの感情を読む
②曖昧な状況で判断する
③責任を取る

全部、AIにできないこと。

管理職を目指してる人、
「情報整理マン」になるな。

「判断と責任の人」になれ。

そうすればAI時代でも
むしろ価値が上がる。

AIに代替される管理職 vs
AIを使いこなす管理職。

どっちになりたい？",自分の仕事でAIに置き換えられそうな部分ある？,draft,AI×トレンド×管理職×広い市場
91,個人開発・SaaS,言い切り,"MVPを作るのに
3ヶ月もかけてる人、
それMVPじゃない。

MVP = Minimum Viable Product
「最小限の動くもの」。

最小限なのに3ヶ月？

本当のMVPは
週末2日で作れる範囲でいい。

機能は1つだけ。
デザインはダサくていい。
ログイン機能すらいらないかも。

「これで出すの恥ずかしい…」

そう思えるくらいがちょうどいい。

恥ずかしくないMVPは
作り込みすぎてる証拠。

3ヶ月かけて
誰も使わないものを作るより

2日で作って
フィードバックを100個もらう方が
100倍価値がある。

出せ。今すぐ出せ。",MVP何日で作った？教えて,draft,SaaS×言い切り×MVP×スピード重視
92,個人開発・SaaS,データ型,"SaaSの価格を
松竹梅にするだけで
平均単価が1.5倍になる。

これ、心理学の話。

「3つの選択肢があると
人は真ん中を選びやすい」

例:
ライト: 月980円
スタンダード: 月2980円
プレミアム: 月9800円

ほとんどの人が2980円を選ぶ。

しかも面白いことに
プレミアムを用意するだけで
スタンダードが「お得」に見える。

プレミアムが売れなくてもいい。
存在するだけで真ん中の価値が上がる。

これを「おとり効果」という。

1プランしかないSaaS、
今すぐ3プランに分けろ。

開発ゼロで売上1.5倍。",自分のサービスのプラン構成教えて,draft,SaaS×データ×価格心理学×実践可能
93,個人開発・SaaS,実践型,"LPのコンバージョン率を
2倍にする方法。

ファーストビューに
この3つを入れろ:

①ベネフィット（何が手に入るか）
②ソーシャルプルーフ（誰が使ってるか）
③CTA（今すぐ〇〇する）

ほとんどのLPが
最初に「機能紹介」をしてる。

誰も機能に興味ない。

「自分の悩みが解決するか」
にしか興味がない。

❌「AIを活用した自動化ツール」
⭕「毎日の作業を80%削減。空いた時間で副業しませんか？」

機能を語るな。
ベネフィットを語れ。

LP変えるだけで
広告費そのままで売上2倍。

これが一番コスパいい改善。",自分のLP見直したことある？,draft,SaaS×実践型×LP改善×コンバージョン
94,個人開発・SaaS,共感型,"個人開発者の孤独、
わかる人にはわかるよね。

朝起きて1人でコード書く。
昼も1人。
夜も1人でバグと戦う。

相談する上司もいない。
励ましてくれる同僚もいない。

Xに「今日も頑張った」って書いても
いいね2個。

それでも続けてる人は
本当にすごいと思う。

でもこの孤独には解決策がある。

「ビルドインパブリック」。

作ってる過程を全部公開する。

進捗も、失敗も、学びも。

すると同じ道を歩く仲間が
自然と集まってくる。

1人で頑張らなくていい。
発信すれば仲間が見つかる。",個人開発仲間募集中の人リプで繋がろう,draft,SaaS×共感×孤独×ビルドインパブリック
95,個人開発・SaaS,逆張り,"「まず作ってからマーケティング」

これ、個人開発者の
最大の失敗パターン。

正解は逆。

「まずマーケティングしてから作る」。

具体的には:

①LPだけ先に作る
②SNSで「こういうの作ろうと思ってる」と発信
③ウェイトリスト（事前登録）を集める
④反応を見てから開発開始

登録ゼロ → 需要なし。作るな。
登録50人 → 需要あり。作れ。

これだけで
「3ヶ月作って売上ゼロ」を防げる。

開発者は作りたがる。
でも売れないものを作る時間は
人生で一番もったいない。

作る前に売れ。",事前検証やってる人いる？方法教えて,draft,SaaS×逆張り×マーケティングファースト×重要
96,個人開発・SaaS,問題提起,"個人SaaSの解約理由
トップ3を知ってるか。

1位: オンボーディングが不十分（40%）
2位: 期待した効果が出ない（30%）
3位: サポートが遅い（20%）

全部、「機能不足」じゃない。

つまり機能を追加しても
解約は止まらない。

止めるには:

①初回ログイン後に
「5分で最初の成功体験」を設計する

②週1でユーザーにメールして
活用事例を送る

③問い合わせに24時間以内に返す

これだけで解約率が半分になる。

新機能開発より
オンボーディング改善の方が
ROIは10倍高い。

まずバケツの穴を塞げ。",解約理由で一番多かったものは？,draft,SaaS×問題提起×解約対策×データ
97,個人開発・SaaS,ストーリー型,"ユーザーインタビュー、
最初は「面倒」だと思ってた。

でもやってみたら
開発の方向性が180度変わった。

自分が「絶対必要」と思ってた機能。
ユーザーは「使ったことない」と言った。

自分が「後回し」にしてた機能。
ユーザーは「これが一番便利」と言った。

衝撃だった。

自分の想像とユーザーの現実は
ここまでズレるのかと。

それ以来、月に1回は
ユーザーと30分話す時間を作ってる。

たった30分で
3ヶ月分の無駄な開発を防げる。

ユーザーの声は最強のコンパス。

想像で作るな。
聞いて作れ。",ユーザーインタビューやってる？,draft,SaaS×ストーリー×ユーザーインタビュー×教訓
98,個人開発・SaaS,対立構造,"「速くリリースしろ」
vs
「ちゃんと作ってからリリースしろ」

個人開発の永遠の議論。

結論: フェーズによる。

初期（0→1）: 速さ一択。
バグあっても出せ。
フィードバックが全て。

成長期（1→10）: バランス。
新機能は速く、コアは丁寧に。

安定期（10→100）: 品質重視。
既存ユーザーの信頼を守れ。

最悪なのは
初期なのに完璧を目指すこと。

ユーザー0人のサービスに
99.9%の稼働率は要らない。

フェーズを間違えるな。
今の自分に必要な速度で走れ。",今どのフェーズ？教えて,draft,SaaS×対立構造×フェーズ別×バランス
99,個人開発・SaaS,言い切り,"個人SaaSで一番大事なこと。

技術でもデザインでもマーケでもない。

「1つの課題に絞ること」。

あれもこれもできるツール
→ 何が強みかわからない
→ 誰にも刺さらない
→ 売れない

1つのことしかできないツール
→ その課題を持つ人に100%刺さる
→ 「これが欲しかった！」と言われる
→ 売れる

Notionが最初から
今のNotionだったわけじゃない。

最初はシンプルなメモアプリ。
そこから徐々に広げていった。

最初から全部やろうとするな。

1つの課題を、
世界で一番深く解決しろ。

そこがスタートライン。",自分のサービスは何の課題を解決してる？,draft,SaaS×言い切り×フォーカス×本質
100,個人開発・SaaS,実践型,"個人SaaSの
マーケティングチャネルTOP5。

2026年、実際に効くやつだけ。

①X発信（個人アカウント）
→ 無料、信頼構築、即効性あり。最強。

②Product Hunt
→ 海外ユーザー獲得。英語LP必須。

③SEOブログ
→ 遅いけど安定。半年後から効く。

④比較記事（競合 vs 自分）
→ 検討中の人が必ず検索する。

⑤既存ユーザーの紹介
→ 紹介プログラムを作るだけ。
→ CAC（獲得コスト）がほぼゼロ。

広告は？

個人SaaSで広告は後回し。
利益が出てから考えろ。

まずは①と⑤を全力で。
これだけで月10万は見える。",どのチャネルが一番効いた？,draft,SaaS×実践型×マーケチャネル×具体的
101,X運用2026,言い切り,"2026年のXで
引用RTが最強の武器になった。

スコア15倍。
RTの20倍に次ぐ高評価。

しかも引用RTには
「自分の意見を乗せられる」
というメリットがある。

バズってるポストに
自分の視点で引用RTする。

これだけで
元ポストの読者全員に
自分の存在が届く。

しかもただのRTと違って
「この人の意見面白い」
と思ってもらえる。

引用RT戦略:

①業界の話題ポストを見つける
②自分の経験を1つ足す
③「あなたはどう思う？」で締める

1日3件の引用RTで
フォロワー増加速度が倍になる。",引用RT意識的にやってる？,draft,X運用×引用RT×アルゴリズム×実践型
102,X運用2026,データ型,"Xプレミアム、
月額980円の価値はあるのか。

結論: 副業勢は必須。

理由を数字で示す。

①長文投稿が可能
→ スレッド不要で深い内容が書ける
→ エンゲージメント率1.3倍

②収益化プログラム
→ インプレッション収益が入る
→ 月数千〜数万円

③分析ツール
→ どの投稿が伸びたか丸わかり
→ PDCAが回せる

④ブルーバッジ
→ 信頼性UP
→ フォロー率1.2倍

月980円で
これだけリターンがあるなら
投資として破格。

「無料で十分」は趣味アカの発想。
ビジネスでXやるなら課金しろ。",プレミアム入ってる？効果あった？,draft,X運用×プレミアム×データ×ROI分析
103,X運用2026,実践型,"ポストの「リサイクル」、
やってる人ほぼいないけど超効果的。

3ヶ月前に伸びたポスト、
覚えてる人はほぼゼロ。

フォロワーの半分以上が
3ヶ月前にはいなかった人。

つまり過去のバズポストを
少し切り口変えて再投稿するだけで
もう一度伸びる。

やり方:

①過去のポストで
いいね50以上のものをリスト化

②切り口を変える
（具体例を差し替え、順番を変える等）

③3ヶ月以上間隔を空けて再投稿

これで新しいネタを
毎日ゼロから考えなくてよくなる。

ネタ切れの特効薬。
過去の自分は最高のネタ帳。",ポストリサイクルやってる人いる？,draft,X運用×リサイクル×実践型×ネタ切れ対策
104,X運用2026,問題提起,"Xのアナリティクス、
見てない人多すぎ。

これ、宝の山なのに。

見るべき数字は3つだけ。

①インプレッション数
→ どれだけの人に届いたか

②エンゲージメント率
→ 届いた人のうち何%が反応したか

③プロフィールクリック率
→ 投稿からプロフを見に来た割合

この3つを毎週チェックするだけで
「何が効いてるか」が見えてくる。

感覚で投稿してる人と
データで投稿してる人の差は
3ヶ月後に10倍になる。

「なんとなく投稿」は2025年で終わり。
2026年は「データドリブン投稿」の時代。",アナリティクス毎週見てる？,draft,X運用×アナリティクス×問題提起×データ
105,X運用2026,逆張り,"「朝7時と夜20時が
ゴールデンタイム」

この常識、2026年は疑え。

確かに全体の平均はそう。

でもあなたのフォロワーが
朝7時にアクティブとは限らない。

Xアナリティクスで
自分のフォロワーの
アクティブ時間を確認しろ。

業種によって全然違う。

経営者層: 朝5〜6時
サラリーマン: 通勤時間・昼休み
フリーランス: 10時〜14時
学生: 22時〜1時

平均を信じるな。
自分のデータを信じろ。

しかも2026年のアルゴリズムは
「投稿後2〜3時間の反応」が命。

自分がアクティブに対応できる時間に
投稿するのが正解。",自分のベスト投稿時間は何時？,draft,X運用×逆張り×投稿時間×データドリブン
106,X運用2026,実践型,"固定ポストの最適解、
2026年版。

固定ポストは「お店の看板」。
プロフを見た人が必ず見る場所。

何を固定すべきか:

【フォロワー増やしたい時】
→ 一番バズったポスト
→ 「この人の投稿面白い」と思わせる

【商品を売りたい時】
→ 無料プレゼントの案内
→ 「LINE登録で〇〇プレゼント」等

【権威性を出したい時】
→ 実績まとめスレッド
→ 「月〇万達成までにやったこと」

月1回は固定ポストを見直せ。

同じものを半年固定してる人、
それ賞味期限切れてる。

固定ポスト = 最強の営業マン。
定期的にアップデートしろ。",固定ポスト何にしてる？見せて,draft,X運用×固定ポスト×実践型×目的別
107,X運用2026,共感型,"Xで「いいね」は来るけど
フォローされない問題。

これ、めちゃくちゃ悔しいよね。

原因はほぼ1つ。

「この人をフォローする理由」が
プロフィールにない。

ポストが面白い
→ プロフを見に行く
→ 「何の人かわからん」
→ 戻る

この離脱が大量に起きてる。

プロフに必要なのは
「フォローしたら何が手に入るか」。

❌「自由に生きたい30代」
⭕「副業月10万ノウハウを毎日発信｜元年収300万→独立」

具体的な数字と
フォローするメリット。

プロフ変えるだけで
フォロー率が2〜3倍変わる。

今すぐ見直して。",プロフ改善でフォロー率変わった人いる？,draft,X運用×共感×プロフ最適化×フォロー率
108,X副業,言い切り,"DM営業、
「売り込み」と思ってる人が多すぎる。

違う。

DM営業の本質は
「困ってる人を助けること」。

やり方:

①相手のポストを読む
②困ってそうなことを見つける
③「こういう方法もありますよ」とDM

最初に売り込まない。
最初は純粋に助ける。

そうすると
「もっと詳しく知りたいです」
と向こうから言ってくる。

そこで初めて
「実はこういうサービスやってて」
と案内する。

Give → Give → Give → Offer

この比率を守れば
DM営業は全然嫌がられない。

むしろ感謝される。",DM営業やったことある？反応教えて,draft,X副業×DM営業×Give先行×実践型
109,X副業,実践型,"Xからメルマガ・LINE登録に
繋げる最強の方法。

フォロワー → メルマガ読者
この変換が副業収益の生命線。

なぜか？

Xのタイムラインは流れる。
メルマガは届く。

「読むかどうか」と
「届くかどうか」は全然違う。

登録を増やすコツ:

①プロフに登録リンク
②固定ポストで無料プレゼント
③週1で「メルマガ限定で〇〇配ってます」

無料プレゼントは
「チェックリスト」か「テンプレート」が鉄板。

作るのに30分。
でも登録率が3倍になる。

X → メルマガ → 商品販売

この導線を持ってる人だけが
フォロワー500人でも稼げる。",メルマガやLINEやってる？登録数教えて,draft,X副業×メルマガ×導線設計×実践型
110,X副業,データ型,"デジタルコンテンツの
価格別売上データ。

500円: 購入率15% 単価低い
1980円: 購入率8% バランス良い
4980円: 購入率3% 利益率最高
9800円: 購入率1% 高単価勝負

面白いのは
トータル売上が最大になるのは
1980〜4980円のレンジ。

500円は安すぎて
「大した内容じゃないだろう」と思われる。

9800円は高すぎて
「失敗したら怖い」と思われる。

1980〜4980円が
「試してみるか」のゾーン。

最初のコンテンツは
1980円スタートがおすすめ。

売れたら次は4980円に挑戦。
段階的に上げていくのが正解。",自分のコンテンツの価格いくら？,draft,X副業×価格設定×データ×コンテンツ販売
